,Value,Successor,Res_Cap1,Res_Cap2,Res_Cap3,Res_Cap4,Time,Best Order,Best Successor,"r[j]-OC[j,c,t]"
8164,267.0,"[24256, 9505, 8163, 22925, 9615, 24146]",10,4,9,5,2,4,24146,220.0
9505,145.0,"[9504, 24266, 10956, 25487, 25597, 10846]",10,3,9,4,1,4,25487,220.0
10846,0.0,['end'],10,2,9,3,0,0,0,0.0
16220,918.0,"[30981, 17671, 32202, 32312, 17561, 16219]",9,9,8,10,6,4,32202,220.0
30981,764.0,"[47073, 32322, 30980, 45742, 32432, 46963]",8,9,7,10,5,3,47073,200.0
45742,599.0,"[61834, 47083, 45741, 60503, 47193, 61724]",7,9,6,10,4,3,61834,200.0
60503,422.0,"[75264, 61954, 76485, 76595, 61844, 60502]",6,9,5,10,3,1,75264,100.0
75264,267.0,"[90025, 76715, 91246, 91356, 76605, 75263]",5,9,4,10,2,4,91246,220.0
90025,145.0,"[106117, 91366, 90024, 104786, 91476, 106007]",4,9,3,10,1,4,106007,220.0
104786,0.0,['end'],3,9,2,10,0,0,0,0.0
32312,764.0,"[47073, 33763, 48294, 48404, 33653, 32311]",8,8,7,10,5,3,48404,200.0
47073,599.0,"[47072, 61834, 48524, 63055, 63165, 48414]",7,8,6,10,4,3,63165,200.0
61834,422.0,"[77926, 63175, 61833, 76595, 63285, 77816]",6,8,5,10,3,1,76595,100.0
76595,267.0,"[92577, 92687, 77936, 76594, 91356, 78046]",5,8,4,10,2,4,92577,220.0
91356,145.0,"[106117, 92807, 107338, 107448, 92697, 91355]",4,8,3,10,1,4,107338,220.0
106117,0.0,['end'],3,8,2,10,0,0,0,0.0
48404,599.0,"[64386, 64496, 49745, 48403, 63165, 49855]",7,7,6,10,4,3,64496,200.0
64496,422.0,"[80588, 65837, 64495, 79257, 65947, 80478]",6,6,5,10,3,1,79257,100.0
80588,267.0,"[96680, 81929, 80587, 95349, 82039, 96570]",5,5,4,10,2,4,96570,220.0
96680,145.0,"[112772, 98021, 96679, 111441, 98131, 112662]",4,4,3,10,1,4,112662,220.0
112772,0.0,['end'],3,3,2,10,0,0,0,0.0
63165,422.0,"[77926, 64616, 79147, 79257, 64506, 63164]",6,7,5,10,3,1,77926,100.0
77926,267.0,"[94018, 79267, 77925, 92687, 79377, 93908]",5,7,4,10,2,4,93908,220.0
92687,145.0,"[108779, 94028, 92686, 107448, 94138, 108669]",4,7,3,10,1,4,108669,220.0
107448,0.0,['end'],3,7,2,10,0,0,0,0.0
79257,267.0,"[94018, 80708, 95239, 95349, 80598, 79256]",5,6,4,10,2,4,95239,220.0
94018,145.0,"[94017, 108779, 95469, 110000, 110110, 95359]",4,6,3,10,1,4,110000,220.0
108779,0.0,['end'],3,6,2,10,0,0,0,0.0
95349,145.0,"[96800, 111331, 111441, 96690, 95348, 110110]",4,5,3,10,1,4,111331,220.0
111441,0.0,['end'],3,4,2,10,0,0,0,0.0
110110,0.0,['end'],3,5,2,10,0,0,0,0.0
17561,764.0,"[32322, 19012, 33543, 33653, 18902, 17560]",9,8,8,9,5,3,33653,200.0
